Bill Date,PayInvoice ID,Bill Number,PurchaseOrder,Bill Status,Is Inclusive Tax,Submitted By,Approved By,Submitted Date,Approved Date,Vendor Name,Location ID,Location Name,Due Date,Currency Code,Exchange Rate,Bill Type,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Brand,Account,Description,Quantity,Usage unit,Line Item Location ID,Line Item Location Name,Rate,Purchase Receive Number,Purchase Order Number,Bill Receive Status,Manually Received Quantity,Customer Name,Tax ID,Tax Name,Tax Percentage,Tax Amount,Tax Type,Is Landed Cost,Item Total,SubTotal,Discount Type,Is Discount Before Tax,Discount,Discount Amount,Entity Discount Percent,Entity Discount Amount,Discount Account,Total,Balance,Adjustment,Adjustment Description,Vendor Notes,Terms & Conditions
2025-03-07,4602503000010418693,120,PO-300,Overdue,false,,,,,Xian Yik Hardware Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,"GRINDING DISC 4""",4602503000000622202,T-338,,,,,,Inventory Asset,,50.00,Each,4602503000009244225,Head Office,1.70,PR-00079,PO-300,,,,,,,,,false,85.00,85.00,entity_level,true,0.00,0.0,0.00,0.000,,85.00,85.00,0.00,Adjustment,,
2025-03-07,4602503000010418723,121,PO-284,Overdue,false,,,,,Purchase Trigger,4602503000009244225,Head Office,2025-03-07,MYR,1.00,Bill,SOLIS 5KW 3-PHASE DUAL MPPT STRING INVERTER,4602503000000203050,D-S5-GR3P5K,,,,,SOLIS,Inventory Asset,5KW SINGLE PHASE 2 MPPT,7.00,pcs,4602503000009244225,Head Office,0.00,PR-00082,PO-284,,,,,,,,,false,0.00,30030.00,entity_level,true,0.00,0.0,0.00,0.000,,30030.00,30030.00,0.00,Adjustment,,
2025-03-07,4602503000010418723,121,PO-284,Overdue,false,,,,,Purchase Trigger,4602503000009244225,Head Office,2025-03-07,MYR,1.00,Bill,SOLIS 6KW 3-PHASE DUAL MPPT STRING INVERTER,4602503000000203061,S5-GR3P6K,,,,,SOLIS,Inventory Asset,6KW SINGLE PHASE 2 MPPT,7.00,pcs,4602503000009244225,Head Office,4290.00,PR-00082,PO-284,,,,,,,,,false,30030.00,30030.00,entity_level,true,0.00,0.0,0.00,0.000,,30030.00,30030.00,0.00,Adjustment,,
2025-03-07,4602503000010418763,122,PO-334,Overdue,false,,,,,Joo Ming Electrical Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,AC wire 6mmx100m BLACK,4602503000000451508,AC-WIRE-06-B,,,,,,Inventory Asset,,7.00,pcs,4602503000009244225,Head Office,195.00,PR-00085,PO-334,,,,,,,,,false,1365.00,4095.00,entity_level,true,0.00,0.0,0.00,0.000,,4095.00,4095.00,0.00,Adjustment,,
2025-03-07,4602503000010418763,122,PO-334,Overdue,false,,,,,Joo Ming Electrical Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,"AC WIRE, 6mmx100m, GREEN",4602503000006076005,AC-WIRE-6-G,,,,,,Inventory Asset,,14.00,pcs,4602503000009244225,Head Office,195.00,PR-00085,PO-334,,,,,,,,,false,2730.00,4095.00,entity_level,true,0.00,0.0,0.00,0.000,,4095.00,4095.00,0.00,Adjustment,,
2025-03-07,4602503000010418805,123,PO-315,Overdue,false,,,,,Ew Steel Marketing Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,Deformed Bar,4602503000004112055,SKU-DB-01,,,,,,Inventory Asset,Size: 9mm x 20ft ( Y10 x 6mtr H/T ),20.00,pcs,4602503000009244225,Head Office,18.00,PR-00081,PO-315,,,,,,,,,false,360.00,360.00,entity_level,true,0.00,0.0,0.00,0.000,,360.00,360.00,0.00,Adjustment,,
2025-03-07,4602503000010418837,124,PO-335,Overdue,false,,,,,Mes Dynamic Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,AC wire 6mmx100m BLACK,4602503000000451508,AC-WIRE-06-B,,,,,,Inventory Asset,,20.00,pcs,4602503000009244225,Head Office,210.00,PR-00084,PO-335,,,,,,,,,false,4200.00,8400.00,entity_level,true,0.00,0.0,0.00,0.000,,8400.00,8400.00,0.00,Adjustment,,
2025-03-07,4602503000010418837,124,PO-335,Overdue,false,,,,,Mes Dynamic Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,"AC WIRE, 6mmx100m, GREEN",4602503000006076005,AC-WIRE-6-G,,,,,,Inventory Asset,,20.00,pcs,4602503000009244225,Head Office,210.00,PR-00084,PO-335,,,,,,,,,false,4200.00,8400.00,entity_level,true,0.00,0.0,0.00,0.000,,8400.00,8400.00,0.00,Adjustment,,
2025-03-07,4602503000010418877,125,PO-294,Overdue,false,,,,,Tokosu Engineering Hardware Trading,4602503000009244225,Head Office,2025-06-05,MYR,1.00,Bill,Bearing Grease,4602503000005874368,SKU-BG-01,,,,,,Inventory Asset,Packing: 500gram,1.00,Tin,4602503000009244225,Head Office,45.00,PR-00078,PO-294,,,,,,,,,false,45.00,45.00,entity_level,true,0.00,0.0,0.00,0.000,,45.00,45.00,0.00,Adjustment,,
2025-03-07,4602503000010418907,126,PO-307,Overdue,false,,,,,Mes Dynamic Sdn Bhd,4602503000009244225,Head Office,2025-04-06,MYR,1.00,Bill,"CABLE WIRE - FLEXIBLE PVC, GREY, 300/500V, 3 CORE, 2.5MM2 X L2M",4602503000000620540,T-0001,,,,,,Inventory Asset,Brand: Fajar (Sirim approved),10.00,Each,4602503000009244225,Head Office,420.00,PR-00076,PO-307,,,,,,,,,false,4200.00,4200.00,entity_level,true,0.00,0.0,0.00,0.000,,4200.00,4200.00,0.00,Adjustment,,
